Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
21,Kitchen Cabinet,Ebee Metal Kitchen Cabinet,₹699,₹999,"['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','W x H x D: 570 mm x 480 mm x 300 mm (1 ft 10 in x 1 ft 6 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
22,Kitchen Cabinet,Woodbuzz Engineered Wood Crockery Cabinet,"₹14,999","₹29,500","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 10','Number of Drawers: 1','W x H x D: 800 mm x 1900 mm x 400 mm (2 ft 7 in x 6 ft 2 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
23,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹1,529","₹2,999","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','W x H x D: 560 mm x 820 mm x 350 mm (1 ft 10 in x 2 ft 8 in x 1 ft 1 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
24,Kitchen Cabinet,Mirramor 3 PC Plastic Home Bathroom Kitchen Cabinet Acc...,₹246,₹999,"['Suitable For: Storage','Number of Shelves: 3','Number of Drawers: 3','W x H x D: 100 mm x 68 mm x 68 mm (3 in x 2 in x 2 in)','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
25,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹489,"₹1,499","['Suitable For: Storage','Number of Shelves: 3','Number of Drawers: 3','W x H x D: 320 mm x 630 mm x 120 mm (1 ft x 2 ft x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
26,Kitchen Cabinet,CMerchants Kitchen Cabinet Kitchen Rack 4 Layer Metal K...,₹593,"₹1,099","['Suitable For: Storage','Number of Shelves: 4','W x H x D: 560 mm x 840 mm x 320 mm (1 ft 10 in x 2 ft 9 in x 1 ft)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
27,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,"₹2,159","₹2,999","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 5','W x H x D: 57 mm x 157 mm x 35 mm (2 in x 6 in x 1 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
28,Kitchen Cabinet,KPT Kitchen Steel Cabinet For Multipurpose Use Metal Ki...,₹439,₹800,"['Suitable For: Storage','Number of Shelves: 2','W x H x D: 10 mm x 10 mm x 10 mm','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
29,Kitchen Cabinet,Home Full Engineered Wood Kitchen Cabinet,"₹5,751","₹10,500","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','Number of Drawers: 2','W x H x D: 600 mm x 1120 mm x 350 mm (1 ft 11 in x 3 ft 8 in x 1 ft 1 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
30,Kitchen Cabinet,KRONIC Pack of 6 Multiperurpose Bathroom Soap Shower St...,₹380,₹899,"['Suitable For: Storage','Number of Shelves: 6','Number of Drawers: 6','W x H x D: 10 mm x 6 mm x 11 mm','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
32,Kitchen Cabinet,KRONIC Pack of 5 Plastic Kitchen Bathroom Storage Corne...,₹365,₹799,"['Suitable For: Storage','Number of Shelves: 5','Number of Drawers: 5','W x H x D: 10 mm x 6.7 mm x 22 mm','Delivery condition: Pre Assembled (Ready to Use)']",FurnitureForYou
33,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand SS Metal Kitchen Ca...,"₹1,234","₹2,999","['Suitable For: Storage','Number of Shelves: 3','W x H x D: 550 mm x 550 mm x 320 mm (1 ft 9 in x 1 ft 9 in x 1 ft)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
34,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹782,"₹1,599","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
