Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
41,Bed,PURPLE TREE Rosewood (Sheesham) Solid Wood King Bed,2879,6592,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 187.96 cm x 90.17 cm x 209.55 cm (6 ft 2 in x 2 ft 11 in x 6 ft 10 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
42,Bed,Flipkart Perfect Homes Opus Engineered Wood Queen Box B...,3292,6344,"['Bed Material Subtype: Particle Board', 'W x H x D: 162.3 cm x 79.9 cm x 213 cm (5 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
44,Bed,Flipkart Perfect Homes Opus Engineered Wood King Box Be...,6262,9281,"['Bed Material Subtype: Particle Board', 'W x H x D: 192.5 cm x 797.5 mm x 2130 mm (6 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
45,Bed,Flipkart Perfect Homes Opus Engineered Wood Queen Box B...,1395,3622,"['Bed Material Subtype: Particle Board', 'W x H x D: 162.3 cm x 79.9 cm x 213 cm (5 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
46,Bed,Flipkart Perfect Homes Rhapsody Engineered Wood Queen B...,1469,3622,"['Bed Material Subtype: Particle Board', 'W x H x D: 162 cm x 889 mm x 2179 mm (5 ft 3 in x 2 ft 10 in x 7 ft 1 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
47,Bed,PURPLE TREE Rosewood (Sheesham) Solid Wood Double Bed,719,1642,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 152.4 cm x 106.68 cm x 198.1 cm (5 ft x 3 ft 6 in x 6 ft 5 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
48,Bed,FurnitureKraft Nancy Metal Queen Bed,614,1279,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 154.5 cm x 95 cm x 206 cm (5 ft x 3 ft 1 in x 6 ft 9 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
49,Bed,Flipkart Perfect Homes Waltz Engineered Wood King Box B...,2475,3671,"['Bed Material Subtype: Particle Board', 'W x H x D: 192.5 cm x 889 mm x 2179 mm (6 ft 3 in x 2 ft 10 in x 7 ft 1 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
50,Bed,FurnitureKraft Nancy Metal King Bed,2475,3671,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 189 cm x 95 cm x 206 cm (6 ft 2 in x 3 ft 1 in x 6 ft 9 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
51,Bed,INDIAN FURNITURE MART Metal Single Hydraulic Bed,2351,2888,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 121.92 cm x 41 cm x 187.96 cm (4 ft x 1 ft 4 in x 6 ft 2 in)', 'Storage Type: Hydraulic', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
55,Bed,PURPLE TREE Solid Wood Queen Bed,2388,2887,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 160 cm x 60 cm x 205 cm (5 ft 2 in x 1 ft 11 in x 6 ft 8 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
56,Bed,Flipkart Perfect Homes Sonore Engineered Wood Single Bo...,2351,2595,"['Bed Material Subtype: Particle Board', 'W x H x D: 185.42 cm x 43.18 cm x 81.28 cm (6 ft x 1 ft 5 in x 2 ft 7 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
59,Bed,Trevi Primus Bed With Storage Engineered Wood Single NA...,2471,2842,"['Bed Material Subtype: Particle Board', 'W x H x D: 80.01 cm x 35.56 cm x 186.69 cm (2 ft 7 in x 1 ft 2 in x 6 ft 1 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
