Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
576,Recliner,Simon Fabric Manual Recliner,20067,25586,"['Material: Fabric', 'Reclining Positions: Infinite', 'Filling Material: Foam', 'W x H x D: 86 cm x 101 cm x 76 cm (2 ft 9 in x 3 ft 3 in x 2 ft 5 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
577,Recliner,EVOK Leatherette Manual Recliner,82168,100320,"['Material: Leatherette', 'Reclining Positions: 2', 'Filling Material: Foam', 'W x H x D: 212 cm x 111 cm x 105 cm (6 ft 11 in x 3 ft 7 in x 3 ft 5 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
585,Recliner,"Alcanes Atlanta Recliner, Ultra Comfortable and Durable...",22074,30102,"['Material: Leatherette', 'Reclining Positions: Infinite', 'Filling Material: Foam', 'W x H x D: 99.06 cm x 93.98 cm x 83.82 cm (3 ft 3 in x 3 ft 1 in x 2 ft 9 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
586,Recliner,Alcanes Leatherette Manual Recliner,18562,25586,"['Material: Leatherette', 'Reclining Positions: Infinite', 'Filling Material: Foam', 'W x H x D: 81 cm x 101 cm x 76 cm (2 ft 7 in x 3 ft 3 in x 2 ft 5 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
589,Recliner,Home Centre Cape Leatherette Manual Rocker Recliner,78263,120406,"['Material: Leatherette', 'Reclining Positions: 1', 'Filling Material: Foam', 'W x H x D: 101.6 cm x 55 cm x 101.6 cm (3 ft 4 in x 1 ft 9 in x 3 ft 4 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mob Expert
590,Recliner,sotase seatings Fabric Powered Recliner,32109,40136,"['Material: Fabric', 'Reclining Positions: 2', 'Filling Material: Foam, Polyfill', 'W x H x D: 86 cm x 106 cm x 86 cm (2 ft 9 in x 3 ft 5 in x 2 ft 9 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
594,Recliner,Home Centre Drake Leatherette Manual Rocker Recliner,109870,156959,"['Material: Leatherette', 'Reclining Positions: 2', 'Filling Material: Foam', 'W x H x D: 102 cm x 54.5 cm x 98 cm (3 ft 4 in x 1 ft 9 in x 3 ft 2 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mob Expert
596,Recliner,Alcanes Leatherette Manual Swivel Recliner,40135,55186,"['Material: Leatherette', 'Reclining Positions: Infinite', 'Filling Material: Foam', 'W x H x D: 187.96 cm x 101.6 cm x 76.2 cm (6 ft 2 in x 3 ft 4 in x 2 ft 6 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
598,Recliner,Home Centre Berlin Leatherette Manual Rocker Recliner,78766,157532,"['Material: Leatherette', 'Reclining Positions: 2', 'Filling Material: Foam', 'W x H x D: 94 cm x 56 cm x 95.3 cm (3 ft 1 in x 1 ft 10 in x 3 ft 1 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
600,Recliner,Home Centre Helsinki Leatherette Manual Rocker Recliner,80271,145948,"['Material: Leatherette', 'Reclining Positions: 1', 'Filling Material: Foam', 'W x H x D: 99.1 cm x 57 cm x 102.9 cm (3 ft 3 in x 1 ft 10 in x 3 ft 4 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
602,Recliner,"Alcanes Darcy Recliner, Ultra Comfortable and Durable E...",19064,28095,"['Material: Leatherette', 'Reclining Positions: Infinite', 'Filling Material: Foam', 'W x H x D: 99.06 cm x 96.52 cm x 99.06 cm (3 ft 3 in x 3 ft 1 in x 3 ft 3 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
604,Recliner,Home Centre Berlin Leather Manual Rocker Recliner,90305,180610,"['Material: Leather', 'Reclining Positions: 2', 'Filling Material: Foam', 'W x H x D: 94 cm x 95.3 cm x 142.2 cm (3 ft 1 in x 3 ft 1 in x 4 ft 7 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
605,Recliner,Home Centre Denver Leatherette Manual Recliner,71742,102488,"['Material: Leatherette', 'Reclining Positions: 0', 'Filling Material: Foam', 'W x H x D: 94 cm x 99 cm x 202 cm (3 ft 1 in x 3 ft 2 in x 6 ft 7 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
