Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
34,Bar,Ognija Solid Wood Bar Cabinet,478,1237,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 723 mm x 406 mm x 101 mm (2 ft 4 in x 1 ft 3 in x 3 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Rusu
36,Bar,Allie Wood Sheesham Wood Bar Cabinet Rack Hard and Soft...,123,370,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1325.8 mm x 863.6 mm x 508 mm (4 ft 4 in x 2 ft 10 in x 1 ft 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
38,Bar,Advika Handicraft Solid Wood Sheesham standard groof ba...,111,247,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 490 mm x 1130 mm x 940 mm (1 ft 7 in x 3 ft 8 in x 3 ft 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
39,Bar,SPEEDX Metal Bar Cabinet,4620,5775,"['Material: Metal', 'Door Included: Yes', 'W x H x D: 821 mm x 609.6 mm x 812 mm (2 ft 8 in x 2 ft x 2 ft 7 in)','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
40,Bar,FURINNO wooden large cabinet Solid Wood Bar Cabinet,1101,2512,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1290.3 mm x 878.8 mm x 657.8 mm (4 ft 2 in x 2 ft 10 in x 2 ft 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Dedeman
41,Bar,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,148,495,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mobila Casa
42,Bar,NEUDOT BAILEYS Engineered Wood Bar Cabinet,3340,6508,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 1200 mm x 1850 mm x 350 mm (3 ft 11 in x 6 ft x 1 ft 1 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
43,Bar,Ognija ognijawirablackwalnut001 Solid Wood Bar Cabinet,1191,2351,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Ikea
44,Bar,Allie Wood Sheesham Wood Bar Cabinet Rack for Home (Nat...,700,1216,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1325.88 mm x 863.6 mm x 508 mm (4 ft 4 in x 2 ft 10 in x 1 ft 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
45,Bar,Thar eCraft Mini Bar Cabinet/Wine Rack Holder for Home/...,819,1980,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 600 mm x 450 mm x 120 mm (1 ft 11 in x 1 ft 5 in x 4 in)','Delivery condition: Pre Assembled (Ready to Use)']",Dedeman
46,Bar,Ognija sheesham wood wall mini bar cabinet Solid Wood B...,126,247,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
48,Bar,Barewether Engineered Wood Bar Cabinet,1101,2722,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 46.99 cm x 179.832 cm x 46.99 cm (1 ft 6 in x 5 ft 10 in x 1 ft 6 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
49,Bar,Marutiwod Solid Wood Bar Cabinet,148,260,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 588 mm x 1803.4 mm x 431.8 mm (1 ft 11 in x 5 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Ikea
51,Bar,Flipkart Perfect Homes Solid Wood Bar Cabinet,126,247,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 700 mm x 525 mm x 925 mm (2 ft 3 in x 1 ft 8 in x 3 ft)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
52,Bar,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,1176,3184,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Dedeman
