Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
218,TV unit,BLUEWUD Oliver Engineered Wood TV Entertainment Unit,2696,6621,"['Material: Particle Board', 'W x H x D: 33.5 cm x 45.5 cm x 109 cm (1 ft 1 in x 1 ft 5 in x 3 ft 6 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 1, Number of Open Shelves: 1, Number of Closed Shelves: 1', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
220,TV unit,Furnifry Wooden Wall Mounted TV Entertainment Unit/TV S...,2984,5418,"['Material: Particle Board', 'W x H x D: 120 cm x 67 cm x 13 cm (3 ft 11 in x 2 ft 2 in x 5 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 8, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
221,TV unit,Flipkart Perfect Homes Studio Wall Mounted TV Stand for...,2001,5016,"['Material: Particle Board', 'W x H x D: 20 cm x 61 cm x 81 cm (7 in x 2 ft x 2 ft 7 in)', 'Ideal TV Size: 42 inch', 'Number of Drawers: 0, Number of Open Shelves: 10, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
222,TV unit,ERAWUD Engineered Wood TV Entertainment Unit,4061,5317,"['Material: Plywood', 'W x H x D: 132 cm x 106 cm x 25 cm (4 ft 3 in x 3 ft 5 in x 9 in)', 'Ideal TV Size: 43 inch', 'Number of Drawers: 0, Number of Open Shelves: 8, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
223,TV unit,BLUEWUD Primax Engineered Wood TV Entertainment Unit,3580,6471,"['Material: Particle Board', 'W x H x D: 30 cm x 97 cm x 157.5 cm (11 in x 3 ft 2 in x 5 ft 2 in)', 'Ideal TV Size: 55 inch', 'Number of Drawers: 0, Number of Open Shelves: 5, Number of Closed Shelves: 4', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
226,TV unit,Das Engineered Wood TV Entertainment Unit,4522,9431,"['Material: Particle Board', 'W x H x D: 132 cm x 10 cm x 30 cm (4 ft 3 in x 3 in x 11 in)', 'Ideal TV Size: 55 inch', 'Number of Drawers: 0, Number of Open Shelves: 9, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
228,TV unit,mk furniture Solid Wood TV Entertainment Unit,14920,40135,"['Material: Rosewood (Sheesham)', 'W x H x D: 175.26 cm x 45.72 cm x 40.64 cm (5 ft 9 in x 1 ft 6 in x 1 ft 3 in)', 'Ideal TV Size: 70 inch', 'Number of Drawers: 3, Number of Open Shelves: 1, Number of Closed Shelves: 0', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
229,TV unit,plantzy Wooden TV Entertainment Unit/Wall Set Top Box S...,3265,7023,"['Material: Particle Board', 'W x H x D: 120 cm x 67 cm x 13 cm (3 ft 11 in x 2 ft 2 in x 5 in)', 'Ideal TV Size: 42 inch', 'Number of Drawers: 0, Number of Open Shelves: 8, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
230,TV unit,icrush Wooden wall mounted tv unit perfect for 32 inche...,1153,2005,"['Material: MDF', 'W x H x D: 86 cm x 8 cm x 20 cm (2 ft 9 in x 3 in x 7 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
231,TV unit,Home Centre Engineered Wood TV Entertainment Unit,9030,13892,"['Material: Plywood', 'W x H x D: 45 cm x 40 cm x 180 cm (1 ft 5 in x 1 ft 3 in x 5 ft 10 in)', 'Ideal TV Size: 50 Inch', 'Number of Drawers: 0, Number of Open Shelves: 0, Number of Closed Shelves: 0', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mobila Casa
232,TV unit,BLUEWUD Victor Engineered Wood TV Entertainment Unit,3884,6521,"['Material: Particle Board', 'W x H x D: 40.5 cm x 40 cm x 101 cm (1 ft 3 in x 1 ft 3 in x 3 ft 3 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
233,TV unit,FURNISELAN Solid Wood TV Entertainment Unit,14990,26087,"['Material: Sheesham Wood', 'W x H x D: 149.86 cm x 55.88 cm x 50.8 cm (4 ft 11 in x 1 ft 10 in x 1 ft 8 in)', 'Ideal TV Size: 43 inch', 'Number of Drawers: 4, Number of Open Shelves: 0, Number of Closed Shelves: 2', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
234,TV unit,Furnifry Wooden Wall Mounted TV Stand/TV Entertainment ...,3310,5418,"['Material: Particle Board', 'W x H x D: 120 cm x 80 cm x 30 cm (3 ft 11 in x 2 ft 7 in x 11 in)', 'Ideal TV Size: 42 inch', 'Number of Drawers: 0, Number of Open Shelves: 8, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
236,TV unit,icrush Beautiful Wooden wall set top box stand (brown) ...,802,2006,"['Material: MDF', 'W x H x D: 60 cm x 13 cm x 20 cm (1 ft 11 in x 5 in x 7 in)', 'Ideal TV Size: 26 inch', 'Number of Drawers: 0, Number of Open Shelves: 1, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
237,TV unit,CuteKitchen CKET02-19 Engineered Wood TV Entertainment ...,5015,9251,"['Material: Particle Board', 'W x H x D: 120 cm x 120 cm x 25 cm (3 ft 11 in x 3 ft 11 in x 9 in)', 'Ideal TV Size: 50 inch', 'Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
238,TV unit,ERAWUD Engineered Wood TV Entertainment Unit,1504,2507,"['Material: Plywood', 'W x H x D: 65 cm x 10 cm x 22 cm (2 ft 1 in x 3 in x 8 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 5, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
