Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
358,Kitchen Cabinet,Qrex Plastic Kitchen Cabinet,440,601,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 6', 'W x H x D: 16 mm x 4 mm x 14 mm', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
359,Kitchen Cabinet,kraft bazaar Solid Wood Kitchen Cabinet,20067,40135,"['Suitable For: Storage', 'Number of Shelves: 2', 'Number of Drawers: 4', 'W x H x D: 1500 mm x 900 mm x 400 mm (4 ft 11 in x 2 ft 11 in x 1 ft 3 in)', 'Pre Assembled (Ready to Use)']",Mobila Casa
361,Kitchen Cabinet,HEYMAK 5PC Plasti bathroom new shower stirag shoap stan...,250,1002,"['Suitable For: Storage', 'Number of Shelves: 2', 'Number of Drawers: 2', 'W x H x D: 16 mm x 4 mm x 14 mm', 'Pre Assembled (Ready to Use)']",Casa Rusu
362,Kitchen Cabinet,Qrex Pack Of 12 Pcs ABS Plastic Multiperurpose Home Kit...,591,1301,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 12', 'Number of Drawers: 12', 'W x H x D: 16 mm x 4 mm x 14 mm', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
363,Kitchen Cabinet,SLIMSHINE Metal Kitchen Cabinet,1671,2608,"['Suitable For: Storage', 'Number of Shelves: 2', 'W x H x D: 177.8 mm x 736.6 mm x 76.2 mm (7 in x 2 ft 4 in x 3 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
366,Kitchen Cabinet,HXOSET Plastic Kitchen Cabinet Corner Plastic Kitchen C...,360,451,"['Suitable For: Storage', 'Number of Shelves: 5', 'Number of Drawers: 5', 'W x H x D: 25 mm x 11 mm x 7 mm', 'Pre Assembled (Ready to Use)']",Dedeman
370,Kitchen Cabinet,JWL Metal Kitchen Cabinet,119,300,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 96 mm x 30 mm x 10 mm (3 in x 1 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
371,Kitchen Cabinet,CMerchants Kitchen Cabinets Metal Kitchen Cabinet,571,1002,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 2', 'W x H x D: 570 mm x 480 mm x 300 mm (1 ft 10 in x 1 ft 6 in x 11 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
375,Kitchen Cabinet,TNT Fizzy 4 Tier Multi-Purpose Plastic Storage Organize...,1504,3009,"['Suitable For: Storage', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 330 mm x 775 mm x 275 mm (1 ft x 2 ft 6 in x 10 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
376,Kitchen Cabinet,SANAMSTORE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Casa Magica
