Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
19,Shoerack,SPECIALITY PANELS Vancouver Blue and Cool Grey finish o...,297,412,"['Material Subtype: Particle Board', 'Width x Height: 60 cm x 75 cm (1 ft 11 in x 2 ft 5 in)', 'Type: Shoe Rack', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
20,Shoerack,Sampri Shoes Rack Shoe Rack Shoes Stand accessories cov...,52,82,"['Material Subtype: Carbon Steel', 'Width x Height: 60 cm x 110 cm (1 ft 11 in x 3 ft 7 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 18', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
21,Shoerack,SIMSAN Simsan Premium home Plastic shoe stand racks wit...,41,124,"['Material Subtype: PP', 'Width x Height: 58 cm x 72 cm (1 ft 10 in x 2 ft 4 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
22,Shoerack,aks groups shoe stand & chappal stand & slippers stand ...,41,82,"['Material Subtype: Plywood', 'Width x Height: 58 cm x 73 cm (1 ft 10 in x 2 ft 4 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
23,Shoerack,DeckUp Turrano 3-Door Engineered Wood Shoe Rack,540,990,"['Material Subtype: Particle Board', 'Width x Height: 120 cm x 48 cm (3 ft 11 in x 1 ft 6 in)', 'Type: Shoe Rack', 'Capacity: 18', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
24,Shoerack,Jaagriti Articles Jaagriti Articles Plastic Shoe Stand ...,31,70,"['Material Subtype: Carbon Steel', 'Width x Height: 67 cm x 64 cm (2 ft 2 in x 2 ft 1 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
25,Shoerack,Ebee Store Metal Shoe Stand,25,82,"['Material Subtype: Carbon Steel', 'Width x Height: 34 cm x 40 cm (1 ft 1 in x 1 ft 3 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
26,Shoerack,BAE Plastic Shoe Stand,39,66,"['Material Subtype: PP', 'Width x Height: 56 cm x 76 cm (1 ft 10 in x 2 ft 5 in)', 'Type: Shoe Stand', 'Capacity: 8', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
27,Shoerack,Sleepyhead Footsie Combo Engineered Wood Shoe Rack,817,1155,"['Material Subtype: Carbon Steel', 'Width x Height: 145 cm x 90 cm (4 ft 9 in x 2 ft 11 in)', 'Type: Shoe Rack', 'Capacity: 25', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
28,Shoerack,Bhimada Metal Collapsible Shoe Stand,40,124,"['Material Subtype: Cast Iron', 'Width x Height: 600 mm x 780 mm (1 ft 11 in x 2 ft 6 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
