Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
40,Showcase,Flipkart Perfect Homes Studio KR-02-Beige Engineered Wo...,715,1604,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Easy Cleaning,Huge Storage Space,Good Looking,Heavy and Strong']",Casa Rusu
41,Showcase,Flipkart Perfect Homes Studio KR-02-White Engineered Wo...,715,1504,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Easy Cleaning,Huge Storage Space,Good Looking,Heavy and Strong']",Casa Magica
42,Showcase,"King Decore love self ,wall art wall decor i lave you s...",360,1595,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
43,Showcase,classiconline Wall Mount Corner 5 Tier Engineered Wood ...,714,2608,['Delivery condition: Pre Assembled (Ready to Use)'],Mob Expert
44,Showcase,"Artesia Wall Mount Set of 3 Iron Wall Shelves Wooden, I...",882,4013,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
45,Showcase,Meher MULTIPURPOSE STORAGE CASE Plastic Display Unit,181,753,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Rusu
46,Showcase,Custom Decor NEW Edison Solidwood House Corner Wall Rac...,3511,12041,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
47,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,715,1604,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
48,Showcase,Sublime Arts Tv Entertainment Set top Box Stand Ideal f...,546,1238,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
50,Showcase,woodinto Wooden Wall Shelf for Decor Home and Office En...,1303,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
51,Showcase,Star Handicrafts Engineered Wood Display Unit,979,3009,['Delivery condition: Pre Assembled (Ready to Use)'],Ikea
52,Showcase,Martemporium New Plus Wooden Wall Shelf for Decor Your ...,713,1604,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: New Plus wall shelf']",Mobila Casa
53,Showcase,Manu Creations Hardwood Aai Wall Mounted Shelf Wenge Ra...,391,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
54,Showcase,"ABHA A4 metal Brochure,catalogue rack, Display Stand Me...",1805,3512,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Brochure']",Casa Rusu
55,Showcase,Star Handicrafts Engineered Wood Display Unit,1065,3009,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
56,Showcase,Decorhand Wall Mount Intersecting Hexagon Wall Shelves ...,1845,4013,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
57,Showcase,classiconline Set of 4 Engineered Wood Display Unit,709,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
58,Showcase,Flipkart Perfect Homes Studio Multipurpose Wooden Kitch...,1169,3060,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
60,Showcase,King Decore love selfdisplay unit wall self wall art wa...,400,1604,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
61,Showcase,Das Engineered Wood Display Unit,635,2206,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
62,Showcase,King Decore Engineered Wood Display Unit,250,802,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
63,Showcase,Mrmart Engineered Wood Display Unit,902,1504,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
64,Showcase,Craft Creations Engineered Wood Display Unit,4515,4515,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
65,Showcase,classiconline Engineered Wood Display Unit,399,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
66,Showcase,"Amaze Shoppee Wall Mounted Stand for Set Top Box, Wall ...",791,4013,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
67,Showcase,Mrmart Engineered Wood Display Unit,1153,2608,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Rusu
68,Showcase,Craft Creations Engineered Wood Display Unit,2192,2609,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
69,Showcase,Decorhand Wall Mount Set of 6 Intersecting Wall Shelves...,1449,3009,['Delivery condition: Pre Assembled (Ready to Use)'],Jysk
70,Showcase,woodinto Corner Zig Zag Wall Mount Shelves for Home Dec...,812,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: ZIGZAG WALL SHELVE']",Jysk
71,Showcase,Hometown Engineered Wood Display Unit,2889,7927,"['Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
72,Showcase,Xtenshion Crafts Engineered Wood Display Unit,763,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Rusu
73,Showcase,Sublime Arts WALL FLOATING Engineered Wood Display Unit,571,902,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
74,Showcase,Flipkart Perfect Homes Studio Multipurpose Wooden Kitch...,1266,4013,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: Modern and Sturdy']",Casa Rusu
